title,url
Anna's Archive: An Update from the Team,https://annas-archive.org/blog/an-update-from-the-team.html
FFmpeg Assembly Language Lessons,https://github.com/FFmpeg/asm-lessons
Show HN: I built an app to block Shorts and Reels,https://scrollguard.app/
Who Invented Backpropagation?,https://people.idsia.ch/~juergen/who-invented-backpropagation.html
Launch HN: Reality Defender (YC W22) â€“ API for Deepfake and GenAI Detection,https://www.realitydefender.com/platform/api
The Weight of a Cell,https://www.asimov.press/p/cell-weight
"Web apps in a single, portable, self-updating, vanilla HTML file",https://hyperclay.com/
Counter-Strike: A billion-dollar game built in a dorm room,https://www.nytimes.com/2025/08/18/arts/counter-strike-half-life-minh-le.html
Typechecker Zoo,https://sdiehl.github.io/typechecker-zoo/
"Electromechanical reshaping,  an alternative to laser eye surgery",https://medicalxpress.com/news/2025-08-alternative-lasik-lasers.html
My Retro TVs,https://www.myretrotvs.com/
Show HN: A Minimal Hacker News Reader for Apple Watch Built with SwiftUI,https://github.com/wieslawsoltes/HackerNewsWatch
AWS pricing for Kiro dev tool dubbed 'a wallet-wrecking tragedy',https://www.theregister.com/2025/08/18/aws_updated_kiro_pricing/
A gigantic jet caught on camera: A spritacular moment for NASA astronaut,https://science.nasa.gov/science-research/heliophysics/a-gigantic-jet-caught-on-camera-a-spritacular-moment-for-nasa-astronaut-nicole-ayers/
Image Fulgurator (2011),https://juliusvonbismarck.com/bank/index.php/projects/image-fulgurator/2/
Walkie-Textie Wireless Communicator,http://www.technoblogy.com/show?2AON
Sky Calendar,https://abramsplanetarium.org/SkyCalendar/index.html
Vibe coding tips and tricks,https://github.com/awslabs/mcp/blob/main/VIBE_CODING_TIPS_TRICKS.md
Countrywide natural experiment links built environment to physical activity,https://www.nature.com/articles/s41586-025-09321-3
SystemD Service Hardening,https://roguesecurity.dev/blog/systemd-hardening
